url,rating,reviews,initial_price,final_price,currency,seller_name,seller_ratings,seller_ship_on_time,seller_chat_response,sku,mpn,returns_and_warranty,is_super_seller,brand,stock,shop_url,lazmall,domain,number_sold,gmv
https://www.lazada.vn/products/mau-moi-ong-nhom-2-mat-galileo-hong-ngoai-dac-chung-quan-doi-my-ong-nhom-nhin-sieu-xa-xuyen-khoang-cachong-nhom-doi-2-mat-chuyen-dung-sieu-net-tam-nhin-xa-toi-da-5km-ong-nhom-san-ong-du-lichda-ngoai-i2421083446-s11928584556.html,5,21,800000,400000,VND,AZMAX,0.97,100%,100%,2421083446_VNAMZ-11928584556,2421083446,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""1 year Invoice""]",TRUE,AZMAX,TRUE,https://www.lazada.vn/shop/azmax/?itemId=2421083446&channelSource=pdp,TRUE,https://www.lazada.vn,24,9600000
https://www.lazada.vn/products/yt100-wifi-portable-projector-hd-mini-video-projector-home-video-smart-projectors-for-phones-tablet-laptops-computer-i2486901169-s12177395205.html,5,1,782000,534563,VND,Amyove,0.94,100%,100%,2486901169_VNAMZ-12177395205,2486901169,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,Amyove,TRUE,https://www.lazada.vn/shop/amyove/?itemId=2486901169&channelSource=pdp,TRUE,https://www.lazada.vn,4,2138252
https://www.lazada.vn/products/ong-nhom-2-mat-galileo-du-lich-20x50-phong-dai-20x-tam-nhin-xa-500m-goc-nhin-rong-chinh-hang-tai-suno-i2486466536-s12176637133.html,5,25,479000,377000,VND,SUNO Top,0.93,97%,92%,2486466536_VNAMZ-12176637133,2486466536,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,SUNO,TRUE,https://www.lazada.vn/shop/suno-top/?itemId=2486466536&channelSource=pdp,TRUE,https://www.lazada.vn,25,9425000
https://www.lazada.vn/products/sieu-sale-ong-nhom-ho-tro-nhin-sieu-xa-2-mat-binoculars-dac-chung-quan-doi-my-ong-nhom-nhin-dem-chuyen-dung-nhin-sieu-xa-xuyen-khoang-cach-cho-dan-di-phuot-du-lich-di-san-i2421035610-s11928638218.html,4.8,19,800000,400000,VND,AZMAX,0.97,100%,100%,2421035610_VNAMZ-11928638218,2421035610,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""1 year Invoice""]",TRUE,AZMAX,TRUE,https://www.lazada.vn/shop/azmax/?itemId=2421035610&channelSource=pdp,TRUE,https://www.lazada.vn,24,9600000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530595.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530595,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530598.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530598,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530601.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530601,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530602.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530602,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530597.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530597,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/dep-duc-tre-em-quai-ngang-sieu-nhe-duwa-hang-chinh-hang-ld210-i2163085931-s10210530599.html,4.7,19,159000,49000,VND,TNT SKY,0.99,100%,100%,2163085931_VNAMZ-10210530599,2163085931,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""3 Months Invoice""]",TRUE,Duwa,TRUE,https://www.lazada.vn/shop/tnt-sky/?itemId=2163085931&channelSource=pdp,TRUE,https://www.lazada.vn,63,3087000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552636.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552636,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552638.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552638,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552639.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552639,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s9639117907.html,4.6,16,175000,59000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-9639117907,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,6431000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s9639117910.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-9639117910,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s9639117911.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-9639117911,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308284.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308284,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308285.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308285,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308287.html,4.9,34,79000,45100,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308287,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4284500
https://www.lazada.vn/products/giay-the-thao-nam-dep-sneaker-nam-thoi-trang-cao-cap-giay-the-thao-nam-vien-4-soc-co-ban-de-apb-kieu-dang-moi-de-mem-em-chan-thoang-khi-lagado-i1525493681-s6407552635.html,4.6,16,175000,79000,VND,LAGADO - Giày Dép Hottrend Nữ,0.95,71%,100%,1525493681_VNAMZ-6407552635,1525493681,"[""100% Authentic"",""Change of Mind"",""30 Days Free Returns"",""Warranty not available""]",TRUE,LAGADO,TRUE,https://www.lazada.vn/shop/lagado-giay-dep-hottrend-nu/?itemId=1525493681&channelSource=pdp,TRUE,https://www.lazada.vn,109,8611000
https://www.lazada.vn/products/giay-nhua-di-mua-di-bien-nu-chat-lieu-nhua-sieu-nhe-em-chan-nhieu-mau-i2343621654-s11398308281.html,4.9,34,79000,44649,VND,HTSPORTS,0.97,100%,80%,2343621654_VNAMZ-11398308281,2343621654,"[""100% chính hãng"",""Được đổi ý"",""30 ngày miễn phí trả hàng"",""Không áp dụng chính sách bảo hành""]",TRUE,HT SPORTS,TRUE,https://www.lazada.vn/shop/htsports/?itemId=2343621654&channelSource=pdp,TRUE,https://www.lazada.vn,95,4241655
